Distance_km,Traffic_Level,Preparation_Time_min,Courier_Experience_yrs,Weather_Foggy,Weather_Rainy,Weather_Snowy,Weather_Windy,Time_of_Day_Evening,Time_of_Day_Morning,Time_of_Day_Night,Vehicle_Type_Car,Vehicle_Type_Scooter
10.04,2,12,9.0,False,True,False,False,False,False,False,False,False
7.15,2,29,7.0,False,False,False,False,False,False,True,True,False
4.37,1,6,7.0,False,False,False,False,True,False,False,False,True
15.53,0,26,6.0,False,False,False,False,False,True,False,False,False
11.06,2,6,9.0,False,False,False,False,True,False,False,False,False
19.73,1,27,4.0,True,False,False,False,True,False,False,False,False
19.45,2,20,6.0,False,True,False,False,False,True,False,False,True
7.54,0,20,5.0,False,False,True,False,False,False,False,False,False
11.1,0,18,7.0,False,False,False,False,False,False,False,False,False
6.03,2,8,6.0,False,True,False,False,False,False,False,True,False
5.42,0,11,9.0,False,False,False,False,True,False,False,False,True
7.44,1,5,1.0,False,True,False,False,False,False,False,False,True
18.34,2,9,4.0,False,False,False,False,False,False,True,False,False
19.12,2,8,0.0,False,False,False,True,True,False,False,True,False
2.16,1,10,1.0,False,False,False,False,False,False,True,True,False
1.4,0,9,9.0,False,False,False,True,True,False,False,False,False
18.99,2,10,6.0,False,True,False,False,False,False,False,False,False
1.2,0,24,7.0,False,True,False,False,False,True,False,False,True
9.08,0,14,5.0,False,False,False,False,False,False,False,False,True
3.55,1,23,0.0,False,False,False,False,True,False,False,False,False
11.72,0,11,9.0,False,True,False,False,True,False,False,False,False
10.28,1,29,3.0,False,False,False,False,True,False,False,False,True
17.53,0,14,6.0,False,False,False,False,False,False,False,False,False
1.38,0,13,9.0,False,False,False,False,False,True,False,False,True
1.51,2,26,1.0,False,False,False,False,True,False,False,False,False
10.9,2,6,8.0,False,False,False,False,False,False,False,False,True
1.22,1,6,5.0,False,False,False,False,True,False,False,False,True
6.2,2,7,3.0,False,False,False,True,True,False,False,False,True
18.33,1,19,0.0,True,False,False,False,False,True,False,False,True
3.42,1,11,9.0,False,False,False,False,False,False,True,True,False
19.4,0,8,9.0,False,False,False,False,True,False,False,False,True
9.24,1,8,2.0,False,False,False,True,False,False,False,False,False
18.2,1,27,1.0,False,False,False,True,False,True,False,False,False
17.8,2,12,9.0,False,False,False,True,False,False,False,True,False
14.08,2,28,6.0,False,False,False,False,False,True,False,False,False
1.62,0,9,8.0,False,False,False,True,True,False,False,False,False
16.66,2,29,7.0,False,False,True,False,False,False,False,False,True
17.87,0,29,4.0,False,False,True,False,False,True,False,False,True
13.09,0,17,1.0,False,False,False,True,False,True,False,False,True
12.77,0,22,8.0,True,False,False,False,False,True,False,False,False
1.22,2,14,2.0,True,False,False,False,False,False,False,False,True
14.46,1,11,9.0,False,True,False,False,False,True,False,False,True
15.5,1,28,9.0,False,False,False,False,False,True,False,False,True
10.62,1,22,5.0,False,False,False,True,False,False,False,True,False
6.95,1,25,2.0,False,False,False,False,False,True,False,False,True
10.09,1,7,0.0,False,False,False,False,True,False,False,False,False
10.62,0,29,1.0,True,False,False,False,True,False,False,False,True
0.78,1,6,1.0,False,False,False,False,False,True,False,False,False
11.36,1,8,2.0,False,False,False,False,False,True,False,False,True
3.25,0,23,7.0,False,False,False,False,False,True,False,False,False
16.98,0,11,6.0,False,False,False,False,False,True,False,False,False
4.1,1,18,3.0,False,False,False,False,True,False,False,True,False
12.33,2,7,2.0,False,False,False,False,False,False,True,False,False
2.76,1,8,5.0,False,False,False,True,False,True,False,False,True
3.17,1,17,6.0,False,False,False,False,True,False,False,False,True
5.41,1,14,5.0,False,False,False,False,False,False,True,False,False
18.01,2,14,2.0,True,False,False,False,False,False,True,False,False
6.05,1,24,0.0,False,False,False,False,False,True,False,True,False
10.73,0,6,6.0,True,False,False,False,False,True,False,False,False
10.31,1,19,5.0,True,False,False,False,False,True,False,False,True
3.54,1,17,4.0,False,True,False,False,False,False,False,False,True
13.85,0,29,5.0,False,False,False,False,True,False,False,False,False
4.22,1,16,7.0,False,False,False,False,False,True,False,False,False
8.04,1,27,0.0,False,False,False,False,True,False,False,True,False
19.81,0,27,1.0,False,False,False,False,False,False,False,False,False
6.8,2,28,5.0,False,False,False,False,True,False,False,False,False
9.64,0,10,5.0,False,False,False,False,False,True,False,False,False
14.07,0,10,5.0,False,True,False,False,True,False,False,False,False
5.75,2,7,4.0,False,False,False,True,False,True,False,False,True
17.39,1,5,6.0,False,False,False,False,True,False,False,False,True
15.05,1,12,2.0,False,False,False,False,True,False,False,True,False
16.3,0,12,1.0,True,False,False,False,False,True,False,True,False
7.67,0,9,2.0,False,False,False,True,False,True,False,True,False
19.41,0,11,8.0,False,False,False,True,False,True,False,False,False
12.74,0,18,0.0,False,False,False,False,False,False,True,False,True
11.62,0,9,8.0,False,False,False,False,False,False,False,False,False
8.15,0,26,2.0,False,True,False,False,False,False,False,False,False
7.8,0,23,5.0,False,False,False,False,True,False,False,False,True
10.2,1,18,9.0,False,True,False,False,False,False,False,False,False
4.64,0,15,9.0,False,False,False,False,False,False,False,False,False
14.66,2,5,6.0,False,False,True,False,False,True,False,True,False
11.51,0,5,7.0,True,False,False,False,False,False,False,True,False
15.23,0,6,0.0,True,False,False,False,False,True,False,True,False
6.18,1,9,9.0,False,False,False,False,True,False,False,False,False
12.39,1,14,8.0,False,False,True,False,True,False,False,False,False
3.48,0,9,1.0,True,False,False,False,False,False,False,False,True
10.95,1,9,1.0,False,False,True,False,False,False,False,False,False
8.72,1,18,7.0,False,False,True,False,True,False,False,True,False
4.5,2,24,0.0,False,False,True,False,True,False,False,False,False
3.65,1,29,9.0,False,False,False,False,False,True,False,False,False
0.94,2,9,6.0,False,False,False,False,False,True,False,False,False
6.8,1,13,7.0,True,False,False,False,False,True,False,False,True
7.0,1,17,9.0,False,True,False,False,True,False,False,False,False
9.36,2,17,2.0,False,True,False,False,False,True,False,False,True
5.84,1,21,7.0,False,False,False,False,True,False,False,False,False
18.83,1,5,8.0,False,False,False,False,True,False,False,False,True
18.62,0,27,6.0,False,False,False,False,True,False,False,False,True
10.49,0,28,9.0,False,True,False,False,False,True,False,False,False
18.23,0,27,9.0,False,True,False,False,False,False,False,False,True
11.63,1,29,7.0,False,False,False,False,False,False,True,False,True
2.29,2,8,8.0,False,True,False,False,False,False,False,True,False
10.64,0,11,9.0,False,False,False,True,True,False,False,True,False
16.35,1,16,0.0,False,False,False,False,False,True,False,False,False
13.96,0,5,1.0,False,True,False,False,False,False,True,False,False
1.01,2,17,7.0,False,False,False,False,False,False,True,False,False
7.93,0,12,1.0,False,False,False,True,False,False,False,False,True
17.89,0,27,1.0,False,False,False,True,False,True,False,False,False
10.3,0,29,0.0,False,True,False,False,True,False,False,False,False
18.44,2,27,7.0,False,True,False,False,False,True,False,False,False
12.1,2,11,0.0,False,False,False,False,False,False,False,False,False
7.72,1,11,5.0,False,True,False,False,False,True,False,False,False
10.75,1,8,6.0,False,True,False,False,False,True,False,False,False
16.22,2,22,0.0,False,True,False,False,True,False,False,False,False
6.15,0,26,5.0,True,False,False,False,True,False,False,False,True
12.6,1,8,6.0,False,False,False,True,False,False,False,True,False
3.0,0,29,1.0,False,False,False,False,False,True,False,False,True
8.92,1,25,4.0,False,False,False,True,False,True,False,False,False
5.23,1,19,4.0,False,False,False,False,False,True,False,False,True
2.14,0,25,1.0,False,False,False,False,False,False,False,False,False
12.76,2,27,5.0,False,False,False,True,False,True,False,False,True
6.76,1,7,6.0,True,False,False,False,False,False,True,False,False
3.88,1,16,2.0,False,False,False,False,False,True,False,False,False
16.92,0,29,0.0,False,False,False,False,False,True,False,False,True
8.01,2,8,6.0,False,False,False,False,False,True,False,False,False
13.6,1,27,0.0,False,False,False,False,False,False,False,False,False
18.68,0,11,8.0,False,False,True,False,False,False,False,False,False
12.11,0,9,5.0,False,True,False,False,False,True,False,False,False
12.32,1,17,4.0,False,False,False,False,True,False,False,False,True
2.47,0,22,6.0,False,True,False,False,False,False,False,True,False
3.88,0,27,9.0,True,False,False,False,True,False,False,True,False
8.25,1,7,9.0,False,False,False,False,False,False,False,False,False
18.13,2,21,2.0,False,True,False,False,True,False,False,False,False
11.21,2,23,1.0,False,False,False,False,False,False,False,False,True
18.48,1,8,0.0,False,False,False,False,False,False,True,False,False
5.18,1,9,2.0,False,False,False,False,False,False,False,True,False
11.41,1,17,4.0,False,False,False,True,False,False,False,False,True
4.04,0,11,9.0,False,False,True,False,False,False,True,False,False
15.89,1,15,9.0,False,False,True,False,False,False,False,True,False
15.71,0,28,5.0,False,False,False,False,False,False,False,False,True
16.09,0,13,6.0,False,False,True,False,False,True,False,True,False
12.83,0,5,8.0,False,False,False,False,True,False,False,False,False
9.06,1,23,4.0,False,False,False,False,True,False,False,False,False
19.03,1,8,8.0,False,False,False,False,False,True,False,False,True
5.55,2,18,1.0,True,False,False,False,True,False,False,False,False
16.47,2,20,9.0,False,False,True,False,True,False,False,False,True
9.52,0,12,1.0,False,False,False,False,False,True,False,False,False
6.78,0,18,6.0,True,False,False,False,False,False,True,False,False
9.49,1,23,6.0,False,True,False,False,False,True,False,True,False
6.38,0,16,1.0,False,False,True,False,True,False,False,False,False
0.59,0,21,0.0,False,False,False,False,False,False,False,False,False
14.58,0,23,0.0,False,False,False,False,True,False,False,False,False
18.06,1,9,8.0,False,False,False,False,False,False,True,False,False
11.26,0,5,6.0,False,False,False,False,False,False,True,False,False
8.98,1,22,8.0,False,False,False,False,False,False,False,False,True
19.0,2,28,3.0,False,False,False,False,False,True,False,True,False
19.53,0,11,6.0,True,False,False,False,False,False,False,False,False
19.02,2,22,1.0,False,True,False,False,True,False,False,False,True
16.43,0,13,5.0,False,False,False,False,True,False,False,False,False
14.94,1,11,0.0,False,False,False,False,False,True,False,False,False
17.97,1,28,7.0,False,False,False,True,False,True,False,False,True
6.73,1,21,1.0,False,False,False,False,False,False,False,False,False
14.21,1,24,5.0,False,False,False,False,True,False,False,False,False
10.69,1,25,9.0,False,False,False,False,False,False,True,False,False
1.27,2,25,9.0,True,False,False,False,False,False,False,False,False
1.3,1,22,4.0,False,False,False,False,True,False,False,False,False
13.84,0,18,5.0,False,False,False,False,False,True,False,False,True
5.9,0,26,9.0,False,True,False,False,True,False,False,True,False
2.74,2,18,9.0,False,False,False,False,False,False,False,False,False
13.44,0,29,0.0,False,False,False,False,False,False,True,False,False
7.04,0,11,8.0,False,False,False,False,False,False,False,False,False
15.62,2,26,2.0,False,False,True,False,True,False,False,False,True
11.2,1,23,5.0,False,False,False,False,False,True,False,False,False
6.91,0,27,8.0,False,False,False,False,True,False,False,False,False
19.73,0,8,8.0,False,True,False,False,True,False,False,False,False
1.95,0,16,2.0,False,False,False,False,False,True,False,False,True
14.7,1,24,5.0,False,False,False,False,True,False,False,False,True
17.19,1,11,8.0,False,False,False,False,False,False,False,False,False
19.24,0,26,1.0,False,False,True,False,False,True,False,False,False
13.06,2,17,8.0,False,True,False,False,False,True,False,False,False
4.83,0,25,9.0,False,True,False,False,False,True,False,True,False
17.61,1,19,3.0,False,False,False,False,False,True,False,False,True
2.33,0,6,1.0,False,False,False,False,False,True,False,True,False
0.68,2,29,8.0,False,False,True,False,True,False,False,False,False
10.48,0,10,7.0,False,True,False,False,False,False,False,True,False
11.92,0,14,4.0,False,False,False,False,False,False,False,False,True
10.7,2,8,4.0,False,False,False,False,False,False,False,True,False
7.85,0,7,9.0,False,False,False,False,False,False,False,False,True
5.35,1,24,6.0,False,False,False,False,False,False,False,False,True
10.29,1,25,4.0,True,False,False,False,True,False,False,False,True
1.97,2,28,7.0,False,False,False,False,False,True,False,True,False
13.97,0,14,8.0,False,False,True,False,True,False,False,False,True
6.58,0,6,7.0,True,False,False,False,True,False,False,True,False
16.44,2,12,5.0,False,True,False,False,False,False,False,False,False
17.24,0,17,5.0,False,False,False,False,True,False,False,False,False
9.73,0,29,6.0,False,False,False,False,False,False,False,False,False
0.72,1,9,2.0,False,True,False,False,False,False,False,False,True
12.85,1,23,0.0,False,True,False,False,False,False,False,False,True
16.14,0,6,9.0,False,False,False,False,False,False,True,True,False
12.16,2,11,0.0,False,False,False,True,True,False,False,False,True
16.53,0,24,9.0,False,False,True,False,False,False,False,False,True
4.55,0,5,6.0,False,True,False,False,False,False,False,False,False
19.32,2,21,7.0,False,True,False,False,False,True,False,True,False
10.14,1,20,1.0,False,False,False,False,False,True,False,False,True
1.23,0,18,6.0,False,False,False,False,True,False,False,False,False
3.98,2,19,3.0,False,False,False,False,False,False,True,True,False
12.65,0,15,4.0,False,False,False,False,True,False,False,False,False
10.89,2,12,5.0,False,False,False,False,False,False,True,False,False
0.95,1,27,0.0,False,True,False,False,False,True,False,True,False
15.14,1,15,4.0,False,False,False,True,False,True,False,False,False
5.91,1,29,4.0,False,False,False,False,True,False,False,False,True
11.36,0,6,4.0,True,False,False,False,False,False,False,False,False
4.1,0,21,3.0,False,False,False,False,False,True,False,False,False
11.88,2,29,9.0,False,True,False,False,False,False,False,True,False
7.97,1,9,8.0,False,False,False,True,True,False,False,False,True
16.37,2,26,7.0,False,False,False,False,False,True,False,False,False
16.68,1,9,9.0,False,False,False,False,False,False,False,False,False
2.71,1,6,5.0,False,False,False,False,False,True,False,True,False
2.92,2,24,4.0,False,False,False,True,False,False,False,False,False
3.81,2,5,6.0,False,True,False,False,False,False,False,False,False
19.47,0,16,8.0,False,False,False,False,False,True,False,False,False
2.06,1,22,4.0,True,False,False,False,True,False,False,False,True
0.71,0,29,1.0,True,False,False,False,False,False,True,False,False
12.09,1,13,1.0,False,False,False,False,False,True,False,True,False
4.96,0,10,7.0,False,True,False,False,False,False,False,True,False
2.19,0,26,3.0,False,False,False,False,True,False,False,False,False
6.56,1,14,1.0,False,False,False,True,False,True,False,False,False
13.35,0,14,4.0,False,True,False,False,True,False,False,False,True
6.85,2,16,5.0,False,False,False,False,False,True,False,False,False
15.17,0,25,4.0,False,False,False,True,False,True,False,False,False
18.04,1,8,5.0,False,False,False,False,False,True,False,False,False
11.08,2,16,6.0,False,False,False,True,False,False,False,False,False
16.54,0,6,7.0,False,True,False,False,False,False,False,False,True
12.03,1,20,5.0,False,False,False,False,False,True,False,True,False
7.29,2,11,7.0,False,False,False,False,True,False,False,True,False
14.23,1,23,7.0,False,False,False,False,False,False,False,False,True
13.37,2,17,8.0,False,False,False,True,False,False,False,False,True
9.22,1,18,9.0,False,False,False,False,False,False,False,True,False
14.73,0,24,6.0,False,True,False,False,False,False,False,False,False
3.25,1,29,0.0,False,True,False,False,True,False,False,False,True
17.12,0,26,3.0,False,True,False,False,False,True,False,False,False
6.06,0,10,8.0,True,False,False,False,False,False,False,False,True
16.54,1,25,7.0,False,True,False,False,False,False,False,False,False
19.41,0,7,3.0,False,False,False,False,False,True,False,True,False
7.34,1,22,5.0,True,False,False,False,False,False,False,False,False
12.43,0,12,0.0,False,False,True,False,False,False,False,True,False
6.79,0,16,1.0,False,True,False,False,True,False,False,False,True
14.39,1,6,5.0,False,True,False,False,False,True,False,False,True
19.33,1,7,8.0,False,False,False,False,False,True,False,False,False
19.1,0,18,1.0,False,False,True,False,False,False,False,False,False
6.13,2,25,6.0,False,True,False,False,False,True,False,False,False
3.22,2,7,7.0,False,False,False,True,False,True,False,True,False
10.86,1,10,4.0,False,False,False,True,False,True,False,True,False
8.32,0,12,2.0,False,True,False,False,False,False,False,True,False
15.54,0,29,1.0,False,False,False,False,False,False,True,False,False
17.96,1,26,0.0,False,False,False,False,True,False,False,False,True
11.78,0,26,3.0,False,False,False,False,False,False,False,False,True
1.11,0,5,6.0,False,False,False,False,False,True,False,False,False
0.99,1,15,5.0,False,False,False,False,True,False,False,False,False
7.08,1,5,8.0,False,False,False,False,False,False,False,False,True
4.15,1,17,8.0,False,False,False,False,False,True,False,True,False
6.22,0,16,9.0,False,False,False,False,False,False,False,False,False
5.98,0,22,9.0,False,False,False,False,True,False,False,True,False
3.95,1,28,5.0,False,False,False,False,False,True,False,True,False
14.2,1,17,1.0,False,False,False,False,False,False,False,False,False
16.7,1,28,1.0,False,False,False,False,False,False,False,False,True
1.74,2,8,9.0,True,False,False,False,False,False,False,False,True
11.74,2,6,3.0,False,False,False,False,True,False,False,True,False
7.48,1,21,4.0,False,False,False,False,False,True,False,True,False
3.83,0,27,3.0,False,True,False,False,True,False,False,True,False
13.74,1,6,1.0,True,False,False,False,False,False,False,False,False
6.0,1,21,2.0,False,True,False,False,True,False,False,False,True
13.1,0,28,2.0,False,False,False,False,True,False,False,False,False
2.39,1,27,7.0,False,True,False,False,True,False,False,False,False
2.23,1,14,0.0,False,False,True,False,True,False,False,True,False
17.01,0,28,6.0,False,False,True,False,False,False,True,False,False
12.85,1,6,7.0,False,True,False,False,True,False,False,False,True
10.79,1,24,1.0,False,False,False,False,True,False,False,False,True
18.55,0,11,9.0,False,False,False,False,False,False,False,True,False
4.31,1,9,2.0,False,True,False,False,False,False,False,False,False
19.86,2,12,8.0,False,True,False,False,True,False,False,False,False
1.0,1,28,0.0,False,False,True,False,False,True,False,False,False
6.24,1,15,3.0,False,False,False,False,True,False,False,False,False
3.7,1,28,7.0,False,False,False,False,False,True,False,False,False
8.47,0,19,0.0,False,True,False,False,False,False,False,False,True
2.17,0,15,3.0,False,False,True,False,True,False,False,True,False
14.58,0,13,5.0,False,False,False,False,False,False,False,False,False
19.74,1,16,1.0,False,False,False,False,False,False,False,True,False
5.61,0,25,9.0,False,False,False,True,False,False,True,False,False
8.26,0,21,4.0,False,False,False,False,False,True,False,True,False
2.6,0,16,1.0,False,False,False,False,False,False,False,False,False
0.86,2,26,5.0,False,False,False,False,False,False,False,False,False
1.51,2,14,2.0,False,False,False,False,False,False,False,False,False
15.51,1,10,8.0,False,True,False,False,False,True,False,False,True
6.09,1,7,4.0,False,False,False,False,False,False,True,False,False
11.3,1,15,8.0,False,False,True,False,False,False,False,False,False
8.07,0,21,4.0,False,False,False,True,True,False,False,False,False
17.88,1,29,3.0,False,False,False,False,True,False,False,False,False
15.06,0,22,4.0,False,True,False,False,False,True,False,False,False
1.06,0,19,6.0,False,False,False,False,False,False,False,False,True
3.92,1,20,9.0,False,True,False,False,False,False,True,False,False
13.17,2,17,8.0,False,True,False,False,True,False,False,False,True
6.58,0,13,1.0,False,False,False,False,False,False,False,False,False
15.56,1,14,3.0,False,False,False,False,True,False,False,False,False
15.12,0,14,1.0,True,False,False,False,False,True,False,False,False
13.99,2,7,3.0,False,False,False,False,True,False,False,False,True
8.77,1,12,2.0,False,False,False,False,False,True,False,True,False
14.19,1,9,1.0,False,False,False,False,False,False,False,False,False
2.78,2,9,0.0,False,False,False,False,False,False,False,False,True
12.02,0,9,7.0,False,False,False,False,False,True,False,True,False
8.85,0,11,9.0,False,False,False,False,False,False,False,False,False
10.88,0,13,3.0,False,False,True,False,False,False,False,True,False
13.2,0,14,3.0,False,False,True,False,False,True,False,True,False
17.9,0,23,5.0,False,False,False,False,False,True,False,False,False
10.3,0,19,8.0,False,False,False,False,True,False,False,False,True
5.33,0,29,1.0,False,False,False,False,True,False,False,True,False
10.18,1,25,3.0,True,False,False,False,False,True,False,False,False
1.57,0,16,1.0,False,True,False,False,True,False,False,True,False
1.29,0,7,7.0,False,True,False,False,True,False,False,False,False
11.44,2,14,4.0,True,False,False,False,False,False,False,True,False
14.88,1,10,0.0,False,False,True,False,True,False,False,False,False
6.91,1,28,9.0,False,False,False,False,True,False,False,False,True
5.53,1,19,1.0,False,False,False,False,False,False,False,False,False
9.71,0,8,1.0,False,False,False,False,False,True,False,False,False
13.47,0,7,6.0,False,True,False,False,False,False,False,False,True
0.9,0,20,8.0,False,False,False,False,False,False,False,False,False
8.5,2,14,7.0,False,False,True,False,True,False,False,False,False
5.36,0,11,4.0,False,False,False,False,False,False,False,False,True
4.59,0,19,8.0,True,False,False,False,True,False,False,False,True
17.96,1,22,2.0,False,False,False,False,False,True,False,False,False
8.79,0,14,6.0,False,False,True,False,False,False,True,False,False
11.74,0,20,1.0,False,False,False,False,False,False,False,True,False
18.15,2,22,7.0,False,True,False,False,False,True,False,False,False
6.63,0,24,3.0,True,False,False,False,False,False,True,False,True
3.54,0,23,7.0,True,False,False,False,False,True,False,False,False
5.14,1,23,7.0,False,False,False,False,True,False,False,False,True
14.09,1,12,3.0,False,False,False,False,False,False,False,False,True
15.04,0,24,5.0,False,False,False,False,False,True,False,True,False
17.95,2,16,5.0,False,False,True,False,False,True,False,False,True
14.54,1,29,2.0,False,False,False,False,True,False,False,False,False
6.74,1,21,9.0,False,True,False,False,True,False,False,True,False
19.27,1,29,9.0,True,False,False,False,False,True,False,True,False
14.43,1,14,4.0,False,False,False,False,False,True,False,True,False
0.97,0,24,8.0,False,False,False,False,False,False,True,False,True
18.33,1,5,5.0,False,False,True,False,False,True,False,False,True
10.52,1,8,4.0,False,True,False,False,False,False,False,False,True
19.74,0,21,7.0,False,False,False,False,False,True,False,True,False
14.41,1,16,6.0,False,True,False,False,False,False,True,False,False
4.03,1,9,5.0,False,False,False,False,True,False,False,False,False
2.28,1,27,6.0,True,False,False,False,False,True,False,False,True
3.17,0,17,1.0,False,False,False,False,False,False,False,False,False
8.66,2,29,3.0,False,False,True,False,False,True,False,False,False
2.76,1,6,2.0,False,False,False,True,False,False,True,False,False
5.38,1,26,1.0,False,False,False,False,True,False,False,False,True
16.26,0,27,5.0,False,True,False,False,False,True,False,True,False
3.67,0,9,0.0,False,False,False,False,False,True,False,False,False
16.85,2,17,4.0,False,False,False,False,False,True,False,True,False
9.75,0,22,7.0,False,False,False,False,False,False,False,False,False
14.72,1,15,8.0,False,False,False,False,True,False,False,False,True
7.9,0,22,5.0,False,False,False,False,False,False,False,False,True
1.02,1,25,4.0,False,False,False,False,False,False,False,False,False
11.14,1,7,3.0,False,True,False,False,False,True,False,False,True
2.0,2,10,2.0,False,False,False,False,True,False,False,False,True
7.75,1,21,1.0,False,False,False,False,True,False,False,False,True
10.42,1,28,3.0,False,False,False,True,False,False,False,False,False
14.79,1,12,9.0,False,False,False,False,False,True,False,False,True
17.86,0,16,8.0,False,False,False,False,False,False,False,False,True
11.31,1,7,0.0,False,False,False,False,True,False,False,False,False
2.13,0,9,2.0,False,True,False,False,False,True,False,False,True
13.37,1,16,9.0,True,False,False,False,True,False,False,False,True
14.52,1,26,5.0,False,False,False,False,False,False,False,True,False
8.48,2,11,5.0,False,False,False,False,False,False,True,False,False
2.53,0,6,8.0,False,False,True,False,False,True,False,False,False
18.97,0,25,4.0,False,False,False,False,True,False,False,True,False
11.04,1,8,2.0,False,False,False,False,False,False,False,False,True
5.96,0,26,6.0,False,False,False,False,False,False,False,False,False
11.54,2,10,0.0,False,False,False,False,False,False,False,True,False
17.1,1,25,5.0,False,False,False,False,True,False,False,False,False
17.54,1,16,8.0,False,False,False,False,False,True,False,True,False
12.56,2,17,5.0,False,False,False,False,True,False,False,False,False
12.14,2,12,0.0,True,False,False,False,False,False,False,False,False
2.32,0,23,1.0,False,False,False,False,False,False,False,False,True
9.54,1,11,5.0,False,True,False,False,True,False,False,False,True
2.15,1,17,6.0,False,False,False,True,False,False,False,True,False
11.88,1,20,8.0,False,True,False,False,True,False,False,False,False
7.8,1,17,6.0,False,False,False,True,False,False,False,True,False
16.02,0,20,7.0,False,False,False,False,True,False,False,False,False
6.44,0,18,2.0,False,False,False,False,False,False,False,True,False
19.74,2,11,7.0,False,True,False,False,False,False,False,False,True
3.18,1,21,3.0,False,True,False,False,True,False,False,False,False
2.34,1,8,2.0,True,False,False,False,False,True,False,False,False
13.17,1,16,4.0,False,False,False,True,False,False,False,False,False
1.94,0,10,1.0,True,False,False,False,False,False,True,False,False
11.83,0,9,7.0,False,False,False,False,True,False,False,False,True
13.0,0,25,7.0,True,False,False,False,True,False,False,False,False
10.7,1,8,5.0,False,False,False,False,False,False,False,False,True
17.86,0,5,1.0,False,True,False,False,False,False,False,False,False
9.29,1,10,9.0,False,False,False,False,True,False,False,False,False
2.09,0,23,2.0,False,True,False,False,False,False,True,False,False
18.0,2,22,5.0,False,True,False,False,False,False,True,True,False
0.76,0,26,9.0,False,False,False,False,False,False,False,True,False
17.93,1,29,4.0,False,False,False,False,False,False,False,False,False
11.65,0,10,3.0,False,False,False,True,False,False,True,False,False
16.09,0,21,8.0,False,True,False,False,False,True,False,False,False
1.09,1,6,2.0,False,False,False,False,False,True,False,False,True
10.32,1,24,5.0,False,False,False,False,False,False,True,True,False
2.93,1,24,8.0,False,False,False,False,False,True,False,False,False
14.77,2,11,6.0,False,False,False,False,False,True,False,False,True
12.91,1,11,6.0,False,False,False,True,True,False,False,False,False
5.41,2,17,6.0,False,False,False,False,False,True,False,False,True
4.32,0,21,9.0,False,False,False,False,False,True,False,False,False
3.16,0,9,5.0,False,False,True,False,False,True,False,True,False
2.26,1,6,3.0,False,False,False,False,False,True,False,False,True
17.07,1,20,6.0,False,False,False,False,False,True,False,False,False
12.85,1,18,7.0,False,False,False,True,False,False,False,False,True
3.22,1,19,9.0,False,False,False,False,False,False,False,False,False
1.63,1,24,5.0,False,True,False,False,False,False,True,False,False
9.64,1,14,6.0,False,True,False,False,True,False,False,False,False
2.82,1,10,1.0,False,True,False,False,True,False,False,False,True
1.77,1,14,9.0,False,False,False,False,True,False,False,False,False
13.23,1,20,8.0,False,False,False,False,False,False,True,False,False
16.92,0,23,5.0,False,False,False,False,False,False,True,False,False
4.87,2,16,7.0,False,False,True,False,True,False,False,False,False
18.89,1,22,1.0,False,True,False,False,False,True,False,False,True
8.55,0,28,8.0,False,False,False,False,True,False,False,False,True
5.73,0,7,2.0,True,False,False,False,False,True,False,False,True
16.07,1,16,5.0,False,False,False,False,True,False,False,False,False
8.87,0,19,3.0,False,False,False,False,True,False,False,False,False
7.69,2,16,3.0,False,True,False,False,False,True,False,False,True
